Date,Location,Time of Day,Day of Week,Number of Crimes
1/1/19,77th Street,0,Weekday,0
1/1/19,77th Street,600,Weekday,2
1/1/19,77th Street,1200,Weekday,2
1/1/19,77th Street,1800,Weekday,6
1/1/19,Devonshire,0,Weekday,1
1/1/19,Devonshire,600,Weekday,0
1/1/19,Devonshire,1200,Weekday,2
1/1/19,Devonshire,1800,Weekday,4
1/1/19,Hollywood,0,Weekday,3
1/1/19,Hollywood,600,Weekday,0
1/1/19,Hollywood,1200,Weekday,2
1/1/19,Hollywood,1800,Weekday,2
1/1/19,N Hollywood,0,Weekday,0
1/1/19,N Hollywood,600,Weekday,0
1/1/19,N Hollywood,1200,Weekday,1
1/1/19,N Hollywood,1800,Weekday,0
1/1/19,Pacific,0,Weekday,2
1/1/19,Pacific,600,Weekday,1
1/1/19,Pacific,1200,Weekday,0
1/1/19,Pacific,1800,Weekday,2
1/1/19,Southwest,0,Weekday,2
1/1/19,Southwest,600,Weekday,1
1/1/19,Southwest,1200,Weekday,2
1/1/19,Southwest,1800,Weekday,3
1/1/19,West LA,0,Weekday,0
1/1/19,West LA,600,Weekday,0
1/1/19,West LA,1200,Weekday,1
1/1/19,West LA,1800,Weekday,0
1/2/19,77th Street,0,Weekday,0
1/2/19,77th Street,600,Weekday,0
1/2/19,77th Street,1200,Weekday,1
1/2/19,77th Street,1800,Weekday,4
1/2/19,Devonshire,0,Weekday,0
1/2/19,Devonshire,600,Weekday,2
1/2/19,Devonshire,1200,Weekday,1
1/2/19,Devonshire,1800,Weekday,2
1/2/19,Hollywood,0,Weekday,0
1/2/19,Hollywood,600,Weekday,0
1/2/19,Hollywood,1200,Weekday,2
1/2/19,Hollywood,1800,Weekday,4
1/2/19,N Hollywood,0,Weekday,0
1/2/19,N Hollywood,600,Weekday,2
1/2/19,N Hollywood,1200,Weekday,0
1/2/19,N Hollywood,1800,Weekday,6
1/2/19,Pacific,0,Weekday,0
1/2/19,Pacific,600,Weekday,0
1/2/19,Pacific,1200,Weekday,2
1/2/19,Pacific,1800,Weekday,3
1/2/19,Southwest,0,Weekday,1
1/2/19,Southwest,600,Weekday,1
1/2/19,Southwest,1200,Weekday,2
1/2/19,Southwest,1800,Weekday,3
1/2/19,West LA,0,Weekday,0
1/2/19,West LA,600,Weekday,3
1/2/19,West LA,1200,Weekday,0
1/2/19,West LA,1800,Weekday,2
1/3/19,77th Street,0,Weekday,1
1/3/19,77th Street,600,Weekday,1
1/3/19,77th Street,1200,Weekday,0
1/3/19,77th Street,1800,Weekday,2
1/3/19,Devonshire,0,Weekday,0
1/3/19,Devonshire,600,Weekday,0
1/3/19,Devonshire,1200,Weekday,1
1/3/19,Devonshire,1800,Weekday,0
1/3/19,Hollywood,0,Weekday,3
1/3/19,Hollywood,600,Weekday,0
1/3/19,Hollywood,1200,Weekday,2
1/3/19,Hollywood,1800,Weekday,5
1/3/19,N Hollywood,0,Weekday,1
1/3/19,N Hollywood,600,Weekday,2
1/3/19,N Hollywood,1200,Weekday,2
1/3/19,N Hollywood,1800,Weekday,7
1/3/19,Pacific,0,Weekday,0
1/3/19,Pacific,600,Weekday,1
1/3/19,Pacific,1200,Weekday,1
1/3/19,Pacific,1800,Weekday,3
1/3/19,Southwest,0,Weekday,2
1/3/19,Southwest,600,Weekday,0
1/3/19,Southwest,1200,Weekday,3
1/3/19,Southwest,1800,Weekday,6
1/3/19,West LA,0,Weekday,0
1/3/19,West LA,600,Weekday,1
1/3/19,West LA,1200,Weekday,1
1/3/19,West LA,1800,Weekday,1
1/4/19,77th Street,0,Weekday,2
1/4/19,77th Street,600,Weekday,1
1/4/19,77th Street,1200,Weekday,2
1/4/19,77th Street,1800,Weekday,1
1/4/19,Devonshire,0,Weekday,0
1/4/19,Devonshire,600,Weekday,0
1/4/19,Devonshire,1200,Weekday,0
1/4/19,Devonshire,1800,Weekday,3
1/4/19,Hollywood,0,Weekday,1
1/4/19,Hollywood,600,Weekday,1
1/4/19,Hollywood,1200,Weekday,2
1/4/19,Hollywood,1800,Weekday,0
1/4/19,N Hollywood,0,Weekday,0
1/4/19,N Hollywood,600,Weekday,0
1/4/19,N Hollywood,1200,Weekday,3
1/4/19,N Hollywood,1800,Weekday,7
1/4/19,Pacific,0,Weekday,0
1/4/19,Pacific,600,Weekday,0
1/4/19,Pacific,1200,Weekday,0
1/4/19,Pacific,1800,Weekday,3
1/4/19,Southwest,0,Weekday,2
1/4/19,Southwest,600,Weekday,1
1/4/19,Southwest,1200,Weekday,2
1/4/19,Southwest,1800,Weekday,2
1/4/19,West LA,0,Weekday,0
1/4/19,West LA,600,Weekday,0
1/4/19,West LA,1200,Weekday,0
1/4/19,West LA,1800,Weekday,1
1/5/19,77th Street,0,Weekend,1
1/5/19,77th Street,600,Weekend,3
1/5/19,77th Street,1200,Weekend,2
1/5/19,77th Street,1800,Weekend,2
1/5/19,Devonshire,0,Weekend,3
1/5/19,Devonshire,600,Weekend,1
1/5/19,Devonshire,1200,Weekend,2
1/5/19,Devonshire,1800,Weekend,5
1/5/19,Hollywood,0,Weekend,0
1/5/19,Hollywood,600,Weekend,0
1/5/19,Hollywood,1200,Weekend,4
1/5/19,Hollywood,1800,Weekend,1
1/5/19,N Hollywood,0,Weekend,0
1/5/19,N Hollywood,600,Weekend,2
1/5/19,N Hollywood,1200,Weekend,4
1/5/19,N Hollywood,1800,Weekend,5
1/5/19,Pacific,0,Weekend,0
1/5/19,Pacific,600,Weekend,3
1/5/19,Pacific,1200,Weekend,3
1/5/19,Pacific,1800,Weekend,3
1/5/19,Southwest,0,Weekend,2
1/5/19,Southwest,600,Weekend,1
1/5/19,Southwest,1200,Weekend,2
1/5/19,Southwest,1800,Weekend,7
1/5/19,West LA,0,Weekend,0
1/5/19,West LA,600,Weekend,0
1/5/19,West LA,1200,Weekend,1
1/5/19,West LA,1800,Weekend,0
1/6/19,77th Street,0,Weekend,2
1/6/19,77th Street,600,Weekend,0
1/6/19,77th Street,1200,Weekend,2
1/6/19,77th Street,1800,Weekend,5
1/6/19,Devonshire,0,Weekend,1
1/6/19,Devonshire,600,Weekend,1
1/6/19,Devonshire,1200,Weekend,1
1/6/19,Devonshire,1800,Weekend,2
1/6/19,Hollywood,0,Weekend,3
1/6/19,Hollywood,600,Weekend,0
1/6/19,Hollywood,1200,Weekend,2
1/6/19,Hollywood,1800,Weekend,0
1/6/19,N Hollywood,0,Weekend,2
1/6/19,N Hollywood,600,Weekend,1
1/6/19,N Hollywood,1200,Weekend,2
1/6/19,N Hollywood,1800,Weekend,3
1/6/19,Pacific,0,Weekend,2
1/6/19,Pacific,600,Weekend,2
1/6/19,Pacific,1200,Weekend,3
1/6/19,Pacific,1800,Weekend,0
1/6/19,Southwest,0,Weekend,1
1/6/19,Southwest,600,Weekend,2
1/6/19,Southwest,1200,Weekend,0
1/6/19,Southwest,1800,Weekend,4
1/6/19,West LA,0,Weekend,0
1/6/19,West LA,600,Weekend,0
1/6/19,West LA,1200,Weekend,0
1/6/19,West LA,1800,Weekend,1
1/7/19,77th Street,0,Weekday,1
1/7/19,77th Street,600,Weekday,2
1/7/19,77th Street,1200,Weekday,1
1/7/19,77th Street,1800,Weekday,2
1/7/19,Devonshire,0,Weekday,0
1/7/19,Devonshire,600,Weekday,0
1/7/19,Devonshire,1200,Weekday,0
1/7/19,Devonshire,1800,Weekday,5
1/7/19,Hollywood,0,Weekday,0
1/7/19,Hollywood,600,Weekday,1
1/7/19,Hollywood,1200,Weekday,0
1/7/19,Hollywood,1800,Weekday,3
1/7/19,N Hollywood,0,Weekday,0
1/7/19,N Hollywood,600,Weekday,2
1/7/19,N Hollywood,1200,Weekday,3
1/7/19,N Hollywood,1800,Weekday,5
1/7/19,Pacific,0,Weekday,0
1/7/19,Pacific,600,Weekday,2
1/7/19,Pacific,1200,Weekday,1
1/7/19,Pacific,1800,Weekday,4
1/7/19,Southwest,0,Weekday,0
1/7/19,Southwest,600,Weekday,1
1/7/19,Southwest,1200,Weekday,1
1/7/19,Southwest,1800,Weekday,9
1/7/19,West LA,0,Weekday,1
1/7/19,West LA,600,Weekday,2
1/7/19,West LA,1200,Weekday,0
1/7/19,West LA,1800,Weekday,3
1/8/19,77th Street,0,Weekday,0
1/8/19,77th Street,600,Weekday,0
1/8/19,77th Street,1200,Weekday,0
1/8/19,77th Street,1800,Weekday,4
1/8/19,Devonshire,0,Weekday,1
1/8/19,Devonshire,600,Weekday,1
1/8/19,Devonshire,1200,Weekday,2
1/8/19,Devonshire,1800,Weekday,2
1/8/19,Hollywood,0,Weekday,0
1/8/19,Hollywood,600,Weekday,1
1/8/19,Hollywood,1200,Weekday,0
1/8/19,Hollywood,1800,Weekday,0
1/8/19,N Hollywood,0,Weekday,1
1/8/19,N Hollywood,600,Weekday,3
1/8/19,N Hollywood,1200,Weekday,5
1/8/19,N Hollywood,1800,Weekday,5
1/8/19,Pacific,0,Weekday,0
1/8/19,Pacific,600,Weekday,0
1/8/19,Pacific,1200,Weekday,3
1/8/19,Pacific,1800,Weekday,2
1/8/19,Southwest,0,Weekday,1
1/8/19,Southwest,600,Weekday,0
1/8/19,Southwest,1200,Weekday,3
1/8/19,Southwest,1800,Weekday,0
1/8/19,West LA,0,Weekday,2
1/8/19,West LA,600,Weekday,0
1/8/19,West LA,1200,Weekday,1
1/8/19,West LA,1800,Weekday,1
1/9/19,77th Street,0,Weekday,1
1/9/19,77th Street,600,Weekday,1
1/9/19,77th Street,1200,Weekday,0
1/9/19,77th Street,1800,Weekday,2
1/9/19,Devonshire,0,Weekday,2
1/9/19,Devonshire,600,Weekday,2
1/9/19,Devonshire,1200,Weekday,0
1/9/19,Devonshire,1800,Weekday,2
1/9/19,Hollywood,0,Weekday,1
1/9/19,Hollywood,600,Weekday,0
1/9/19,Hollywood,1200,Weekday,3
1/9/19,Hollywood,1800,Weekday,2
1/9/19,N Hollywood,0,Weekday,0
1/9/19,N Hollywood,600,Weekday,0
1/9/19,N Hollywood,1200,Weekday,2
1/9/19,N Hollywood,1800,Weekday,4
1/9/19,Pacific,0,Weekday,1
1/9/19,Pacific,600,Weekday,0
